2018-02-19 22:46:31 [http-nio-8080-exec-8] INFO  com.mvc.spittr.web.LoginController.isCurrentAuthenticationAnonymous(115) - isCurrentAuthenticationAnonymous() flag value: true and credential_
2018-02-19 22:46:31 [http-nio-8080-exec-8] INFO  com.mvc.spittr.web.LoginController.loginPage(98) - Is Current Authentication Anonymous? true
2018-02-19 22:47:08 [http-nio-8080-exec-4] INFO  c.m.s.w.l.HttpRequestLogInterceptor.preHandle(35) - 2018-02-19T22:47:08.366 - called url:/Spring-In-Action_WEBApp/login
2018-02-19 22:47:08 [http-nio-8080-exec-4] INFO  com.mvc.spittr.web.LoginController.isCurrentAuthenticationAnonymous(115) - isCurrentAuthenticationAnonymous() flag value: true and credential_
2018-02-19 22:47:08 [http-nio-8080-exec-4] INFO  com.mvc.spittr.web.LoginController.isCurrentAuthenticationAnonymous(115) - isCurrentAuthenticationAnonymous() flag value: true and credential_
2018-02-19 22:47:08 [http-nio-8080-exec-4] INFO  com.mvc.spittr.web.LoginController.loginPage(98) - Is Current Authentication Anonymous? true
2018-02-19 22:47:23 [http-nio-8080-exec-5] INFO  c.m.s.w.l.HttpRequestLogInterceptor.preHandle(35) - 2018-02-19T22:47:23.361 - called url:/Spring-In-Action_WEBApp/login
2018-02-19 22:47:23 [http-nio-8080-exec-5] INFO  com.mvc.spittr.web.LoginController.isCurrentAuthenticationAnonymous(115) - isCurrentAuthenticationAnonymous() flag value: true and credential_
2018-02-19 22:47:23 [http-nio-8080-exec-5] INFO  com.mvc.spittr.web.LoginController.isCurrentAuthenticationAnonymous(115) - isCurrentAuthenticationAnonymous() flag value: true and credential_
2018-02-19 22:47:23 [http-nio-8080-exec-5] INFO  com.mvc.spittr.web.LoginController.loginPage(98) - Is Current Authentication Anonymous? true
2018-02-19 22:47:43 [http-nio-8080-exec-10] INFO  c.m.s.w.l.HttpRequestLogInterceptor.preHandle(35) - 2018-02-19T22:47:43.205 - called url:/Spring-In-Action_WEBApp/login
2018-02-19 22:47:43 [http-nio-8080-exec-10] INFO  com.mvc.spittr.web.LoginController.isCurrentAuthenticationAnonymous(115) - isCurrentAuthenticationAnonymous() flag value: true and credential_
2018-02-19 22:47:43 [http-nio-8080-exec-10] INFO  com.mvc.spittr.web.LoginController.isCurrentAuthenticationAnonymous(115) - isCurrentAuthenticationAnonymous() flag value: true and credential_
2018-02-19 22:47:43 [http-nio-8080-exec-10] INFO  com.mvc.spittr.web.LoginController.loginPage(98) - Is Current Authentication Anonymous? true
2018-02-19 22:48:39 [http-nio-8080-exec-5] INFO  c.m.s.w.l.HttpRequestLogInterceptor.preHandle(35) - 2018-02-19T22:48:39.084 - called url:/Spring-In-Action_WEBApp/login
2018-02-19 22:48:39 [http-nio-8080-exec-5] INFO  com.mvc.spittr.web.LoginController.isCurrentAuthenticationAnonymous(115) - isCurrentAuthenticationAnonymous() flag value: true and credential_
2018-02-19 22:48:39 [http-nio-8080-exec-5] INFO  com.mvc.spittr.web.LoginController.isCurrentAuthenticationAnonymous(115) - isCurrentAuthenticationAnonymous() flag value: true and credential_
2018-02-19 22:48:39 [http-nio-8080-exec-5] INFO  com.mvc.spittr.web.LoginController.loginPage(98) - Is Current Authentication Anonymous? true
2018-02-19 22:49:21 [http-nio-8080-exec-10] INFO  c.m.s.w.l.HttpRequestLogInterceptor.preHandle(35) - 2018-02-19T22:49:21.142 - called url:/Spring-In-Action_WEBApp/login
2018-02-19 22:49:21 [http-nio-8080-exec-10] INFO  com.mvc.spittr.web.LoginController.isCurrentAuthenticationAnonymous(115) - isCurrentAuthenticationAnonymous() flag value: true and credential_
2018-02-19 22:49:21 [http-nio-8080-exec-10] INFO  com.mvc.spittr.web.LoginController.isCurrentAuthenticationAnonymous(115) - isCurrentAuthenticationAnonymous() flag value: true and credential_
2018-02-19 22:49:21 [http-nio-8080-exec-10] INFO  com.mvc.spittr.web.LoginController.loginPage(98) - Is Current Authentication Anonymous? true
2018-02-19 22:50:16 [http-nio-8080-exec-2] INFO  c.m.s.w.l.HttpRequestLogInterceptor.preHandle(35) - 2018-02-19T22:50:16.356 - called url:/Spring-In-Action_WEBApp/login
2018-02-19 22:50:16 [http-nio-8080-exec-2] INFO  com.mvc.spittr.web.LoginController.isCurrentAuthenticationAnonymous(115) - isCurrentAuthenticationAnonymous() flag value: true and credential_
2018-02-19 22:50:16 [http-nio-8080-exec-2] INFO  com.mvc.spittr.web.LoginController.isCurrentAuthenticationAnonymous(115) - isCurrentAuthenticationAnonymous() flag value: true and credential_
2018-02-19 22:50:16 [http-nio-8080-exec-2] INFO  com.mvc.spittr.web.LoginController.loginPage(98) - Is Current Authentication Anonymous? true
2018-02-19 22:51:46 [http-nio-8080-exec-1] INFO  c.m.s.w.l.HttpRequestLogInterceptor.preHandle(35) - 2018-02-19T22:51:46.598 - called url:/Spring-In-Action_WEBApp/spitter
2018-02-19 22:51:46 [http-nio-8080-exec-1] INFO  c.mvc.spittr.web.util.WebFacilities.getPrincipal(28) - Auth valaue: admin
